model,result,dimension,bucket,samples,C-Acc,EtF1,tIoU
MCG-NJU/TimeLens2-4B,uniform-window-local-128f,median_span,5–15s,132,25.757575757575758,13.825757575757576,35.214140616297804
MCG-NJU/TimeLens2-4B,uniform-window-local-128f,median_span,>15s,94,51.06382978723404,29.024822695035464,49.813848606874
MCG-NJU/TimeLens2-4B,uniform-window-local-128f,median_span,≤5s,94,27.659574468085108,11.081560283687944,32.25145667408523
MCG-NJU/TimeLens2-4B,uniform-window-local-128f,span_count,2–3,199,48.743718592964825,26.633165829145728,44.98080049217839
MCG-NJU/TimeLens2-4B,uniform-window-local-128f,span_count,4–5,73,15.068493150684931,4.041095890410959,28.448648188252776
MCG-NJU/TimeLens2-4B,uniform-window-local-128f,span_count,≥6,48,0.0,0.0,27.8015550432401
MCG-NJU/TimeLens2-4B,embedding-window-local-128f,dispersion,25–60%,137,33.57664233576642,22.850770478507705,48.993414178334724
MCG-NJU/TimeLens2-4B,embedding-window-local-128f,dispersion,<25%,44,47.72727272727273,21.38888888888889,43.61699326780185
MCG-NJU/TimeLens2-4B,embedding-window-local-128f,dispersion,≥60%,139,28.057553956834532,19.38449240607514,45.14500593672496
MCG-NJU/TimeLens2-4B,embedding-window-local-128f,duration,120–300s,157,39.49044585987261,27.388535031847134,53.048010508039084
MCG-NJU/TimeLens2-4B,embedding-window-local-128f,duration,>300s,65,21.53846153846154,4.136752136752137,24.527711142331317
MCG-NJU/TimeLens2-4B,embedding-window-local-128f,duration,≤120s,98,30.612244897959183,22.420634920634924,50.85267752455339
MCG-NJU/TimeLens2-4B,embedding-window-local-128f,evidence_density,10–30%,149,36.241610738255034,26.711409395973153,50.75773794031767
MCG-NJU/TimeLens2-4B,embedding-window-local-128f,evidence_density,<10%,78,37.17948717948718,12.250712250712253,25.026533849443595
MCG-NJU/TimeLens2-4B,embedding-window-local-128f,evidence_density,≥30%,93,24.731182795698924,19.683393070489846,57.97235137694596
MCG-NJU/TimeLens2-4B,embedding-window-local-128f,median_span,5–15s,132,26.515151515151516,16.115319865319865,44.516064014694635
MCG-NJU/TimeLens2-4B,embedding-window-local-128f,median_span,>15s,94,45.744680851063826,34.45626477541371,61.35159091036993
MCG-NJU/TimeLens2-4B,embedding-window-local-128f,median_span,≤5s,94,29.78723404255319,14.893617021276595,34.715226339419594
MCG-NJU/TimeLens2-4B,embedding-window-local-128f,span_count,2–3,199,48.24120603015076,32.30039084310441,51.72101809946148
MCG-NJU/TimeLens2-4B,embedding-window-local-128f,span_count,4–5,73,13.698630136986301,4.634703196347032,40.693110631542496
MCG-NJU/TimeLens2-4B,embedding-window-local-128f,span_count,≥6,48,0.0,0.0,34.2358665317598
Qwen/Qwen3-VL-4B-Instruct,uniform-one-shot-64f,dispersion,25–60%,137,0.0,0.0,28.453936003785575
Qwen/Qwen3-VL-4B-Instruct,uniform-one-shot-64f,dispersion,<25%,44,4.545454545454546,3.409090909090909,32.00218753544882
Qwen/Qwen3-VL-4B-Instruct,uniform-one-shot-64f,dispersion,≥60%,139,1.4388489208633093,1.3189448441247003,26.41164740565405
Qwen/Qwen3-VL-4B-Instruct,uniform-one-shot-64f,duration,120–300s,157,2.5477707006369426,2.123142250530786,30.902934584114686
Qwen/Qwen3-VL-4B-Instruct,uniform-one-shot-64f,duration,>300s,65,0.0,0.0,12.428477701574145
Qwen/Qwen3-VL-4B-Instruct,uniform-one-shot-64f,duration,≤120s,98,0.0,0.0,33.85604788934653
Qwen/Qwen3-VL-4B-Instruct,uniform-one-shot-64f,evidence_density,10–30%,149,1.342281879194631,1.0067114093959733,26.59840942441719
Qwen/Qwen3-VL-4B-Instruct,uniform-one-shot-64f,evidence_density,<10%,78,1.2820512820512822,1.0683760683760686,12.871671319315798
Qwen/Qwen3-VL-4B-Instruct,uniform-one-shot-64f,evidence_density,≥30%,93,1.075268817204301,1.075268817204301,43.122054906661205
Qwen/Qwen3-VL-4B-Instruct,uniform-one-shot-64f,median_span,5–15s,132,1.5151515151515151,1.2626262626262628,24.44595666985873
Qwen/Qwen3-VL-4B-Instruct,uniform-one-shot-64f,median_span,>15s,94,2.127659574468085,1.7730496453900708,42.17713107126752
Qwen/Qwen3-VL-4B-Instruct,uniform-one-shot-64f,median_span,≤5s,94,0.0,0.0,18.99987098238071
Qwen/Qwen3-VL-4B-Instruct,uniform-one-shot-64f,span_count,2–3,199,2.0100502512562812,1.6750418760469015,32.173566026000046
Qwen/Qwen3-VL-4B-Instruct,uniform-one-shot-64f,span_count,4–5,73,0.0,0.0,22.06649110614895
Qwen/Qwen3-VL-4B-Instruct,uniform-one-shot-64f,span_count,≥6,48,0.0,0.0,20.08564549044588
Qwen/Qwen3-VL-4B-Instruct,embedding-window-local-64f,dispersion,25–60%,137,18.248175182481752,11.557177615571774,38.57662943328599
Qwen/Qwen3-VL-4B-Instruct,embedding-window-local-64f,dispersion,<25%,44,29.545454545454547,10.984848484848483,33.942060726409416
Qwen/Qwen3-VL-4B-Instruct,embedding-window-local-64f,dispersion,≥60%,139,24.46043165467626,16.466826538768984,36.921431288241486
Qwen/Qwen3-VL-4B-Instruct,embedding-window-local-64f,duration,120–300s,157,33.75796178343949,22.965322009907997,44.80490572510617
Qwen/Qwen3-VL-4B-Instruct,embedding-window-local-64f,duration,>300s,65,13.846153846153847,2.307692307692307,16.53649367560698
Qwen/Qwen3-VL-4B-Instruct,embedding-window-local-64f,duration,≤120s,98,10.204081632653061,6.122448979591836,38.78862822073103
Qwen/Qwen3-VL-4B-Instruct,embedding-window-local-64f,evidence_density,10–30%,149,21.476510067114095,14.914243102162565,37.538920729314
Qwen/Qwen3-VL-4B-Instruct,embedding-window-local-64f,evidence_density,<10%,78,28.205128205128204,7.905982905982905,18.252742568841136
Qwen/Qwen3-VL-4B-Instruct,embedding-window-local-64f,evidence_density,≥30%,93,19.35483870967742,16.308243727598565,52.61843811129426
Qwen/Qwen3-VL-4B-Instruct,embedding-window-local-64f,median_span,5–15s,132,18.939393939393938,9.25925925925926,34.7739498592426
Qwen/Qwen3-VL-4B-Instruct,embedding-window-local-64f,median_span,>15s,94,41.48936170212766,30.851063829787233,54.44346524633731
Qwen/Qwen3-VL-4B-Instruct,embedding-window-local-64f,median_span,≤5s,94,8.51063829787234,2.482269503546099,23.432773817149258
Qwen/Qwen3-VL-4B-Instruct,embedding-window-local-64f,span_count,2–3,199,35.175879396984925,21.803461753210495,42.97242128094286
Qwen/Qwen3-VL-4B-Instruct,embedding-window-local-64f,span_count,4–5,73,2.73972602739726,0.22831050228310498,29.92080328023552
Qwen/Qwen3-VL-4B-Instruct,embedding-window-local-64f,span_count,≥6,48,0.0,0.0,24.474945396311245
